work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,KC12,51.6504,-128.07,2016-09-02T18:32:10Z,2016-09-02T18:33:25Z,1.95,12.9631,28.1983,6.8615
CALVERT,KC12,51.6504,-128.07,2016-09-02T18:37:28Z,2016-09-02T18:37:52Z,1.969,13.1121,27.6296,6.6138
CALVERT,KC12,51.6504,-128.07,2016-09-21T15:57:02Z,2016-09-21T15:58:04Z,1.958,12.1546,27.7178,6.4896
CALVERT,KC12,51.6504,-128.07,2016-09-21T16:02:53Z,2016-09-21T16:03:10Z,1.977,12.1483,27.7145,6.1971
CALVERT,KC12,51.6504,-128.07,2016-10-20T20:07:13Z,2016-10-20T20:08:06Z,1.956,10.1528,30.1674,5.7865
CALVERT,KC12,51.6504,-128.07,2016-10-20T20:13:07Z,2016-10-20T20:13:32Z,1.93,10.1568,30.1734,5.7889
CALVERT,KC12,51.6504,-128.07,2016-11-23T18:46:38Z,2016-11-23T18:49:58Z,1.901,9.2378,27.8807,6.8402
CALVERT,KC12,51.6504,-128.07,2016-11-23T18:46:38Z,2016-11-23T18:49:58Z,1.901,9.2378,27.8807,6.8402
CALVERT,KC12,51.6504,-128.07,2017-01-20T20:38:57Z,2017-01-20T20:39:22Z,2.069,7.4535,29.4417,6.9653
CALVERT,KC12,51.6504,-128.07,2017-02-24T20:01:34Z,2017-02-24T20:01:49Z,2.01,5.997,28.0499,8.4068
CALVERT,KC12,51.6504,-128.07,2017-02-24T20:16:38Z,2017-02-24T20:16:55Z,1.943,6.0725,27.8585,8.5249
CALVERT,KC12,51.6504,-128.07,2017-03-15T18:49:48Z,2017-03-15T18:50:11Z,2.007,6.8172,29.8194,7.8172
CALVERT,KC12,51.6504,-128.07,2017-04-12T18:49:38Z,2017-04-12T18:49:49Z,2.011,7.9489,29.9982,9.3346
CALVERT,KC12,51.6504,-128.07,2017-05-07T17:42:27Z,2017-05-07T17:42:49Z,2.025,9.9157,28.3927,
CALVERT,KC12,51.6504,-128.07,2017-05-24T18:01:56Z,2017-05-24T18:02:16Z,1.989,10.6952,29.0893,7.0266
CALVERT,KC12,51.6504,-128.07,2017-06-14T18:01:27Z,2017-06-14T18:01:39Z,1.979,11.8606,27.2665,7.5776
CALVERT,KC12,51.6504,-128.07,2017-07-05T18:03:54Z,2017-07-05T18:04:06Z,1.968,13.5585,25.7453,9.291
CALVERT,KC12,51.6504,-128.07,2017-07-30T16:16:59Z,2017-07-30T16:17:05Z,1.933,13.6286,29.1793,7.1608
CALVERT,KC12,51.6504,-128.07,2017-08-16T17:27:49Z,2017-08-16T17:27:55Z,1.979,12.7499,29.0945,7.5438
CALVERT,KC12,51.6504,-128.07,2017-09-09T17:32:04Z,2017-09-09T17:32:14Z,2,13.0675,27.0435,5.6254
CALVERT,KC12,51.6504,-128.07,2017-09-30T17:43:20Z,2017-09-30T17:43:31Z,1.945,12.7497,25.5049,6.2032
CALVERT,KC12,51.6504,-128.07,2017-10-15T15:31:39Z,2017-10-15T15:34:22Z,2.041145843,,,
CALVERT,KC12,51.6504,-128.07,2017-12-07T17:38:01Z,2017-12-07T17:38:37Z,1.911,7.1487,29.2233,6.4365
CALVERT,KC12,51.6504,-128.07,2018-01-13T17:33:29Z,2018-01-13T17:33:59Z,1.962,7.3192,30.8536,6.3125
CALVERT,KC12,51.6504,-128.07,2018-02-17T20:06:34Z,2018-02-17T20:06:43Z,2.025,,,6.8415
CALVERT,KC12,51.6504,-128.07,2018-03-25T16:22:03Z,2018-03-25T16:22:13Z,2.006,6.9414,30.9642,6.429
CALVERT,KC12,51.6504,-128.07,2018-04-23T16:02:06Z,2018-04-23T16:02:19Z,2.07,8.5202,30.5641,7.0545
CALVERT,KC12,51.6504,-128.07,2018-05-28T17:26:03Z,2018-05-28T17:26:11Z,1.941,10.7933,29.7955,7.0605
CALVERT,KC12,51.6504,-128.07,2018-06-17T17:28:40Z,2018-06-17T17:28:53Z,1.992,13.6969,25.5375,6.8078
CALVERT,KC12,51.6504,-128.07,2018-08-26T20:15:12Z,2018-08-26T20:15:25Z,1.949,14.0346,28.2618,6.7432
CALVERT,KC12,51.6504,-128.07,2018-09-19T18:12:05Z,2018-09-19T18:12:23Z,1.93,11.6097,27.1257,6.9812
CALVERT,KC12,51.6504,-128.07,2018-10-26T21:36:00Z,2018-10-26T21:36:14Z,1.997,9.6959,31.4099,5.0486
CALVERT,KC12,51.6504,-128.07,2018-11-20T18:59:51Z,2018-11-20T19:00:09Z,2.033740054,8.025334184,26.96606817,6.614529282
CALVERT,KC12,51.6504,-128.07,2019-01-22T20:03:34Z,2019-01-22T20:04:20Z,1.948,7.6475,29.8496,6.7035
CALVERT,KC12,51.6504,-128.07,2019-02-17T17:52:37Z,2019-02-17T17:52:57Z,2.007,6.7621,30.9715,6.6789
CALVERT,KC12,51.6504,-128.07,2019-03-14T19:30:50Z,2019-03-14T19:31:03Z,2.028,6.9842,31.014,6.9607
