Date,Year,Month,WaterYear,TWtrTriquet_bay01_Q_level,TWtrTriquet_bay01_Q_flags,TWtrTriquet_bay01_UNESCO_Q_level,TWtrTriquet_bay01,TWtrTriquet_bay01_Med,TWtrTriquet_bay01_Avg,TWtrTriquet_bay01_Min,TWtrTriquet_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2017-03-24,2017,Mar,2016-2017,1,,2,6.839,6.889,6.92443923611111,6.813,7.192
2017-03-25,2017,Mar,2016-2017,1,,2,6.914,6.94,6.96375868055555,6.788,7.242
2017-03-26,2017,Mar,2016-2017,1,,2,6.864,6.864,6.86598263888889,6.712,6.965
2017-03-27,2017,Mar,2016-2017,1,,2,7.015,6.968125,6.948953125,6.737,7.066
2017-03-28,2017,Mar,2016-2017,1,,2,7.167,7.129,7.09622916666667,6.889,7.242
2017-03-29,2017,Mar,2016-2017,1,,2,7.116,7.167,7.19053993055556,7.066,7.343
2017-03-30,2017,Mar,2016-2017,1,,2,7.469,7.346125,7.31509548611111,7.066,7.569
2017-03-31,2017,Mar,2016-2017,1,,2,7.293,7.327375,7.33551388888889,7.268,7.469
2017-04-01,2017,Apr,2016-2017,1,,2,7.444,7.368,7.38083506944445,7.268,7.544
2017-04-02,2017,Apr,2016-2017,1,,2,7.87,7.50025,7.57694791666666,7.217,7.895
2017-04-03,2017,Apr,2016-2017,1,,2,7.645,7.632,7.61518229166667,7.242,8.12
2017-04-04,2017,Apr,2016-2017,1,,2,7.619,7.619,7.63799652777778,7.569,7.82
2017-04-05,2017,Apr,2016-2017,1,,2,7.92,7.898125,7.88969965277778,7.619,8.369
2017-04-06,2017,Apr,2016-2017,1,,2,7.745,7.77625,7.79912326388889,7.695,7.945
2017-04-07,2017,Apr,2016-2017,1,,2,7.695,7.695,7.68316319444444,7.293,7.92
2017-04-08,2017,Apr,2016-2017,1,,2,7.695,7.695,7.74357638888889,7.619,7.945
2017-04-09,2017,Apr,2016-2017,1,,2,7.77,7.72625,7.74754340277778,7.544,7.945
2017-04-10,2017,Apr,2016-2017,1,,2,7.845,7.816875,7.83375868055556,7.67,8.045
2017-04-11,2017,Apr,2016-2017,1,,2,8.07,7.985625,8.01872048611111,7.72,8.618
2017-04-12,2017,Apr,2016-2017,1,,2,8.195,8.095,8.07325520833333,7.645,8.295
2017-04-13,2017,Apr,2016-2017,1,,2,8.145,8.22,8.23087152777778,8.145,8.369
2017-04-14,2017,Apr,2016-2017,1,,2,8.295,8.3315,8.28981597222222,8.12,8.419
2017-04-15,2017,Apr,2016-2017,1,,2,8.519,8.503375,8.44786111111111,8.27,8.618
2017-04-16,2017,Apr,2016-2017,1,,2,8.668,8.589875,8.55031770833333,8.295,8.817
2017-04-17,2017,Apr,2016-2017,1,,2,8.866,8.8785,8.78224652777778,8.494,9.139
2017-04-18,2017,Apr,2016-2017,1,,2,9.089,9.061,8.97773784722222,8.668,9.361
2017-04-19,2017,Apr,2016-2017,1,,2,8.693,8.9745,8.97350694444445,8.693,9.238
2017-04-20,2017,Apr,2016-2017,1,,2,9.608,9.21275,9.19913368055556,8.693,9.731
2017-04-21,2017,Apr,2016-2017,1,,2,9.583,9.5985,9.56585590277778,9.064,10.051
2017-04-22,2017,Apr,2016-2017,1,,2,9.78,9.756,9.75758159722222,9.41,10.32
2017-04-23,2017,Apr,2016-2017,1,,2,9.682,9.805,9.86758680555556,9.682,10.247
2017-04-24,2017,Apr,2016-2017,1,,2,9.706,9.8665,9.95019444444445,9.694,10.369
2017-04-25,2017,Apr,2016-2017,1,,2,9.756,9.894,9.86239930555556,9.682,10.026
2017-04-26,2017,Apr,2016-2017,1,,2,9.731,9.823,9.82455034722222,9.706,9.952
2017-04-27,2017,Apr,2016-2017,1,,2,9.854,9.832125,9.86286979166666,9.558,10.369
2017-04-28,2017,Apr,2016-2017,1,,2,9.928,9.885,9.89974652777778,9.336,10.296
2017-04-29,2017,Apr,2016-2017,1,,2,9.657,9.850875,9.80689409722222,9.583,9.977
2017-04-30,2017,Apr,2016-2017,1,,2,9.608,9.623,9.63862673611111,9.534,9.756
2017-05-01,2017,May,2016-2017,1,,2,9.879,9.675625,9.719328125,9.534,10.198
2017-05-02,2017,May,2016-2017,1,,2,9.657,9.6695,9.74671180555556,9.583,10.075
2017-05-03,2017,May,2016-2017,1,,2,9.805,9.746625,9.73884722222222,9.583,10.026
2017-05-04,2017,May,2016-2017,1,,2,9.731,9.814,9.81023958333334,9.706,10.001
2017-05-05,2017,May,2016-2017,1,,2,9.706,9.731,9.77436979166666,9.706,9.928
2017-05-06,2017,May,2016-2017,1,,2,9.706,9.731,9.85745833333334,9.558,10.32
2017-05-07,2017,May,2016-2017,1,,2,9.879,9.875875,9.89540104166667,9.706,10.1
2017-05-08,2017,May,2016-2017,1,,2,9.854,9.854,9.87231423611111,9.805,9.977
2017-05-09,2017,May,2016-2017,1,,2,9.952,9.928,10.0189965277778,9.854,10.369
2017-05-10,2017,May,2016-2017,1,,2,10.173,10.072,10.0955885416667,9.928,10.296
2017-05-11,2017,May,2016-2017,1,,2,10.369,10.222,10.2473888888889,10.124,10.467
2017-05-12,2017,May,2016-2017,1,,2,10.687,10.400125,10.4275520833333,10.198,10.687
2017-05-13,2017,May,2016-2017,1,,2,10.345,10.638,10.6595451388889,10.345,10.907
2017-05-14,2017,May,2016-2017,1,,2,10.516,10.476375,10.4858975694444,10.345,10.663
2017-05-15,2017,May,2016-2017,1,,2,10.467,10.418,10.4261059027778,10.369,10.492
2017-05-16,2017,May,2016-2017,1,,2,10.785,10.59,10.5256909722222,10.124,10.858
2017-05-17,2017,May,2016-2017,1,,2,10.834,10.785,10.8552621527778,10.687,11.419
2017-05-18,2017,May,2016-2017,1,,2,11.029,10.98,10.9769809027778,10.834,11.175
2017-05-19,2017,May,2016-2017,1,,2,11.467,11.278625,11.2503784722222,10.98,11.662
2017-05-20,2017,May,2016-2017,1,,2,12.34,11.6435,11.8002413194444,11.297,12.34
2017-05-21,2017,May,2016-2017,1,,2,12.098,12.074,12.1075104166667,11.807,12.509
2017-05-22,2017,May,2016-2017,1,,2,11.832,12.074,12.0634965277778,11.783,12.485
2017-05-23,2017,May,2016-2017,1,,2,11.734,11.865,11.8838368055556,11.662,12.219
2017-05-24,2017,May,2016-2017,1,,2,11.029,11.771,11.8413975694444,10.834,12.606
2017-05-25,2017,May,2016-2017,1,,2,10.614,11.583,11.483859375,10.614,12.05
2017-05-26,2017,May,2016-2017,1,,2,10.736,11.038,10.9946006944444,10.369,11.71
2017-05-27,2017,May,2016-2017,1,,2,10.614,10.6965,10.6937465277778,10.271,11.127
2017-05-28,2017,May,2016-2017,1,,2,10.492,10.504,10.55815625,10.271,11.102
2017-05-29,2017,May,2016-2017,1,,2,10.565,10.5165,10.503671875,10.345,10.761
2017-05-30,2017,May,2016-2017,1,,2,10.541,10.464,10.5315069444444,10.345,10.883
2017-05-31,2017,May,2016-2017,1,,2,10.59,10.553,10.5669635416667,10.467,10.785
2017-06-01,2017,Jun,2016-2017,1,,2,10.883,10.757875,10.7431788194444,10.59,10.956
2017-06-02,2017,Jun,2016-2017,1,,2,10.883,10.858,10.8785972222222,10.761,11.102
2017-06-03,2017,Jun,2016-2017,1,,2,10.98,10.883,10.9129774305556,10.663,11.37
2017-06-04,2017,Jun,2016-2017,1,,2,11.224,11.175,11.1622777777778,10.98,11.419
2017-06-05,2017,Jun,2016-2017,1,,2,11.346,11.324125,11.3604131944444,11.224,11.589
2017-06-06,2017,Jun,2016-2017,1,,2,12.413,11.4825,11.6837725694444,11.346,12.413
2017-06-07,2017,Jun,2016-2017,1,,2,12.703,12.416,12.3263993055556,11.832,12.703
2017-06-08,2017,Jun,2016-2017,1,,2,12.389,12.509,12.5832048611111,12.389,12.799
2017-06-09,2017,Jun,2016-2017,1,,2,12.437,12.328,12.3837777777778,12.025,12.775
2017-06-10,2017,Jun,2016-2017,1,,2,12.195,12.437,12.4351631944444,12.147,12.751
2017-06-11,2017,Jun,2016-2017,1,,2,11.637,12.268,12.20265625,11.637,12.558
2017-06-12,2017,Jun,2016-2017,1,,2,12.025,12.237,12.1633888888889,11.6495,12.485
2017-06-13,2017,Jun,2016-2017,1,,2,12.219,12.183,12.1841493055556,11.953,12.582
2017-06-14,2017,Jun,2016-2017,1,,2,12.171,12.11,12.1096388888889,11.904,12.34
2017-06-15,2017,Jun,2016-2017,1,,2,12.389,12.316,12.2993090277778,12.171,12.461
2017-06-16,2017,Jun,2016-2017,1,,2,12.485,12.355125,12.2946319444444,12.025,12.485
2017-06-17,2017,Jun,2016-2017,1,,2,12.847,12.594,12.61378125,12.364,13.137
2017-06-18,2017,Jun,2016-2017,1,,2,13.016,12.947,12.9955885416667,12.823,13.257
2017-06-19,2017,Jun,2016-2017,1,,2,12.606,13.112,13.00496875,12.582,13.233
2017-06-20,2017,Jun,2016-2017,1,,2,12.727,12.703,12.7745677083333,12.606,13.161
