Date,Year,Month,WaterYear,TWtrMcmullin_northQ_level,TWtrMcmullin_northQ_flags,TWtrMcmullin_northUNESCO_Q_level,TWtrMcmullin_north,TWtrMcmullin_northMed,TWtrMcmullin_northAvg,TWtrMcmullin_northMin,TWtrMcmullin_northMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-06-10,2016,Jun,2015-2016,1,,2,11.686,11.425,11.3426979166667,10.834,11.71
2016-06-11,2016,Jun,2015-2016,1,,2,11.759,11.44,11.4420121527778,11.102,12.074
2016-06-12,2016,Jun,2015-2016,1,,2,12.171,11.728125,11.6980902777778,11.297,12.195
2016-06-13,2016,Jun,2015-2016,1,,2,12.775,12.546,12.5850347222222,12.207,12.799
2016-06-14,2016,Jun,2015-2016,1,,2,12.243,12.416,12.3930208333333,11.783,12.775
2016-06-15,2016,Jun,2015-2016,1,,2,12.122,12.183,12.1687864583333,11.953,12.34
2016-06-16,2016,Jun,2015-2016,1,,2,11.929,12.016125,12.0278072916667,11.807,12.292
2016-06-17,2016,Jun,2015-2016,1,,2,12.001,11.944,11.9169930555556,11.71,12.05
2016-06-18,2016,Jun,2015-2016,1,,2,12.147,12.107125,12.0961215277778,11.807,12.485
2016-06-19,2016,Jun,2015-2016,1,,2,12.171,12.125125,12.0890763888889,11.662,12.485
2016-06-20,2016,Jun,2015-2016,1,,2,11.953,12.23725,12.2230590277778,11.71,12.775
2016-06-21,2016,Jun,2015-2016,1,,2,11.783,11.85,11.7716423611111,11.37,12.098
2016-06-22,2016,Jun,2015-2016,1,,2,12.171,12.201375,12.2470277777778,11.795,12.606
2016-06-23,2016,Jun,2015-2016,1,,2,11.904,12.213,12.2046996527778,11.832,12.437
2016-06-24,2016,Jun,2015-2016,1,,2,11.977,12.05,12.0542621527778,11.832,12.316
2016-06-25,2016,Jun,2015-2016,1,,2,12.243,11.9255,11.9431215277778,11.71,12.243
2016-06-26,2016,Jun,2015-2016,1,,2,13.185,12.536625,12.6079340277778,11.953,13.209
2016-06-27,2016,Jun,2015-2016,1,,2,13.257,12.6995,12.6447152777778,12.098,13.281
2016-06-28,2016,Jun,2015-2016,1,,2,13.161,12.759875,12.7791666666667,12.195,13.281
2016-06-29,2016,Jun,2015-2016,1,,2,12.799,12.778,12.8106284722222,12.413,13.401
2016-06-30,2016,Jun,2015-2016,1,,2,12.775,12.82,12.8474305555556,12.485,13.401
2016-07-01,2016,Jul,2015-2016,1,,2,13.257,12.8685,12.89090625,12.485,13.281
2016-07-02,2016,Jul,2015-2016,1,,2,13.016,13.233,13.2134184027778,12.896,13.353
2016-07-03,2016,Jul,2015-2016,1,,2,13.088,13.281,13.2084305555556,12.944,13.353
2016-07-04,2016,Jul,2015-2016,1,,2,12.727,13.142875,13.1024600694444,12.509,13.786
2016-07-05,2016,Jul,2015-2016,1,,2,12.461,12.844375,12.8752534722222,12.316,13.305
2016-07-06,2016,Jul,2015-2016,1,,2,12.364,12.89875,12.8526267361111,12.292,13.473
2016-07-07,2016,Jul,2015-2016,1,,2,12.364,12.77475,12.727875,12.292,13.209
2016-07-08,2016,Jul,2015-2016,1,,2,12.703,12.712,12.7605225694444,12.364,13.112
2016-07-09,2016,Jul,2015-2016,1,,2,12.751,12.92,12.9298194444444,12.715,13.257
2016-07-10,2016,Jul,2015-2016,1,,2,13.016,12.896,12.8874357638889,12.751,13.088
2016-07-11,2016,Jul,2015-2016,1,,2,12.968,12.892875,12.8859375,12.799,13.04
2016-07-12,2016,Jul,2015-2016,1,,2,13.642,13.35,13.3225034722222,12.968,13.642
2016-07-13,2016,Jul,2015-2016,1,,2,13.834,13.678,13.71675,13.473,14.122
2016-07-14,2016,Jul,2015-2016,1,,2,14.17,14.239,14.2501319444444,13.846,14.553
2016-07-15,2016,Jul,2015-2016,1,,2,14.242,14.188,14.2514930555556,13.81,15.031
2016-07-16,2016,Jul,2015-2016,1,,2,14.05,14.035,14.0777916666667,13.546,14.697
2016-07-17,2016,Jul,2015-2016,1,,2,13.69,14.044,13.9909583333333,13.353,14.457
2016-07-18,2016,Jul,2015-2016,1,,2,13.642,13.798,13.802,13.449,14.266
2016-07-19,2016,Jul,2015-2016,1,,2,13.57,13.825,13.8423125,13.305,14.409
2016-07-20,2016,Jul,2015-2016,1,,2,13.281,13.560875,13.5287309027778,12.703,14.074
2016-07-21,2016,Jul,2015-2016,1,,2,13.064,13.464,13.5493489583333,12.63,14.577
2016-07-22,2016,Jul,2015-2016,1,,2,12.823,13.12725,13.2033072916667,12.654,13.882
2016-07-23,2016,Jul,2015-2016,1,,2,13.786,13.302,13.2961961805556,12.727,13.882
2016-07-24,2016,Jul,2015-2016,1,,2,14.385,14.059,14.045765625,13.497,14.385
2016-07-25,2016,Jul,2015-2016,1,,2,14.745,14.224,14.2733680555556,13.858,14.745
2016-07-26,2016,Jul,2015-2016,1,,2,14.792,14.188,14.1934253472222,13.69,14.792
2016-07-27,2016,Jul,2015-2016,1,,2,14.625,14.152,14.2024774305556,13.858,14.864
2016-07-28,2016,Jul,2015-2016,1,,2,14.409,14.164,14.3001180555556,13.954,14.888
2016-07-29,2016,Jul,2015-2016,1,,2,14.673,14.685,14.6583263888889,13.93,15.223
2016-07-30,2016,Jul,2015-2016,1,,2,13.137,13.852,13.7304583333333,12.074,14.697
2016-07-31,2016,Jul,2015-2016,1,,2,12.316,12.6815,12.6652795138889,11.783,13.57
2016-08-01,2016,Aug,2015-2016,1,,2,11.832,12.295,12.2792222222222,11.492,13.137
2016-08-02,2016,Aug,2015-2016,1,,2,11.565,12.11025,12.1599149305556,11.467,13.305
2016-08-03,2016,Aug,2015-2016,1,,2,11.005,11.655375,11.6418333333333,10.736,12.582
2016-08-04,2016,Aug,2015-2016,1,,2,10.785,11.677,11.6733888888889,10.736,12.727
2016-08-05,2016,Aug,2015-2016,1,,2,10.81,11.355,11.3222760416667,10.712,11.953
2016-08-06,2016,Aug,2015-2016,1,,2,11.029,11.37,11.3620989583333,10.81,12.147
2016-08-07,2016,Aug,2015-2016,1,,2,11.2,11.33025,11.3556128472222,10.858,12.147
2016-08-08,2016,Aug,2015-2016,1,,2,11.346,11.589,11.7154756944444,11.053,12.606
2016-08-09,2016,Aug,2015-2016,1,,2,11.734,11.855875,11.9399375,11.2,13.618
2016-08-10,2016,Aug,2015-2016,1,,2,13.04,12.301,12.2876979166667,11.443,13.161
2016-08-11,2016,Aug,2015-2016,1,,2,12.316,12.56975,12.5004444444444,11.759,13.233
2016-08-12,2016,Aug,2015-2016,1,,2,11.929,12.209875,12.2950260416667,11.419,13.233
2016-08-13,2016,Aug,2015-2016,1,,2,12.751,12.413,12.3225868055556,11.516,13.329
2016-08-14,2016,Aug,2015-2016,1,,2,12.509,12.733,12.7427951388889,11.589,13.906
2016-08-15,2016,Aug,2015-2016,1,,2,12.171,12.7055,12.6291145833333,11.565,13.642
2016-08-16,2016,Aug,2015-2016,1,,2,13.016,12.515375,12.684609375,11.637,14.194
2016-08-17,2016,Aug,2015-2016,1,,2,11.297,11.965,12.1986788194444,11.127,13.666
2016-08-18,2016,Aug,2015-2016,1,,2,10.541,11.52475,11.5030763888889,10.516,12.751
2016-08-19,2016,Aug,2015-2016,1,,2,10.1,10.7025,10.8314878472222,10.026,11.734
2016-08-20,2016,Aug,2015-2016,1,,2,10.149,10.448625,10.5354010416667,10.026,11.2
2016-08-21,2016,Aug,2015-2016,1,,2,10.001,10.439625,10.4746458333333,10.001,10.858
2016-08-22,2016,Aug,2015-2016,1,,2,10.369,10.415125,10.4489652777778,10.001,11.005
2016-08-23,2016,Aug,2015-2016,1,,2,10.614,10.553,10.5702829861111,10.173,11.102
2016-08-24,2016,Aug,2015-2016,1,,2,11.029,10.626,10.6299878472222,10.296,11.078
2016-08-25,2016,Aug,2015-2016,1,,2,11.053,10.708875,10.7116944444444,10.443,11.053
2016-08-26,2016,Aug,2015-2016,1,,2,10.834,10.715,10.7360329861111,10.443,11.102
2016-08-27,2016,Aug,2015-2016,1,,2,10.736,10.6995,10.6853506944444,10.394,11.053
2016-08-28,2016,Aug,2015-2016,1,,2,10.736,10.712,10.6992291666667,10.492,10.98
2016-08-29,2016,Aug,2015-2016,1,,2,11.686,11.290875,11.3962465277778,10.736,12.364
2016-08-30,2016,Aug,2015-2016,1,,2,11.88,12.10725,12.0726284722222,11.321,12.509
2016-08-31,2016,Aug,2015-2016,1,,2,11.565,11.895125,11.854484375,11.321,12.316
2016-09-01,2016,Sep,2015-2016,1,,2,11.856,11.868,11.8724045138889,11.577,12.171
2016-09-02,2016,Sep,2015-2016,1,,2,11.734,11.9165,11.9570798611111,11.565,12.461
2016-09-03,2016,Sep,2015-2016,1,,2,11.734,11.904,11.9398819444444,11.662,12.437
2016-09-04,2016,Sep,2015-2016,1,,2,11.516,11.737125,11.7463784722222,11.443,12.098
2016-09-05,2016,Sep,2015-2016,1,,2,11.662,11.713125,11.6948229166667,11.175,12.098
2016-09-06,2016,Sep,2015-2016,1,,2,12.316,12.1405,12.2325590277778,11.662,12.992
2016-09-07,2016,Sep,2015-2016,1,,2,13.04,12.73,12.7173055555556,12.243,13.04
2016-09-08,2016,Sep,2015-2016,1,,2,13.353,13.1,13.1315677083333,13.04,13.353
2016-09-09,2016,Sep,2015-2016,1,,2,12.509,12.859,12.8992916666667,12.509,13.377
2016-09-10,2016,Sep,2015-2016,1,,2,12.823,12.621,12.61490625,12.437,12.823
2016-09-11,2016,Sep,2015-2016,1,,2,12.654,12.781,12.7464600694444,12.485,13.016
2016-09-12,2016,Sep,2015-2016,1,,2,12.437,12.543,12.5442864583333,12.268,12.727
