work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,3.955,9.9421,29.0427,7.2521,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,4.967,9.7953,29.2416,6.9539,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,5.925,9.7181,29.3298,6.7326,
CALVERT,018032_2015-05-13T16:55:10.333Z,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,6.867,9.7055,29.3399,6.5427,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,0.964,11.4308,28.7122,10.5522,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,1.956,11.0605,29.1933,9.8136,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,2.967,10.4421,29.897,9.2549,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,3.933,10.1897,30.147,8.8342,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,4.962,10.0565,30.2593,8.3677,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,5.982,9.966,30.3386,7.8846,
CALVERT,018032_2015-06-03T21:13:24.000Z,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,6.894,9.9306,30.3848,7.4528,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,0.918,14.482,27.6687,11.3477,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,1.902,13.9769,28.2426,11.703,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,2.918,13.3753,28.9989,12.082,
CALVERT,018032_2015-06-24T16:51:48.501Z,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,3.975,12.3693,29.8253,12.237,
